,squirrel_id,X,grid_year,grid,yearn,experiment,mid,locx,locy,litter,nest,n_pups,date,julian_date,year,t_return,return_lat,t_move,m_return,observer,nest_type,cones_counts,mustelid_tracks,LRS,ARS,mom_age,predator,locX,month,locY,local.density,scaled_lat,males,dist,age_sq,litter_id,average_growth,oft1,mis1
50,10184,733,KL_2008,KL,2008,control,-1.1.,-1.5,1.5,1,1,4,4/6/08,97,nonmast,NA,420,NA,n,rwt,NA,38.53571429,329,1,0,2,high predator,-1.5,4,1.5,0,0.735397158,0,0.640312424,4,4193,NA,1.018315289,3.317111404
51,10184,730,KL_2009,KL,2009,control,-1.1,-1.5,1,2,2,2,7/30/09,211,nonmast,NA,420,NA,n,NA,NA,12.08333333,314,1,0,3,high predator,-1.5,7,1,0.188349045,0.735397158,0,0.4,9,4465,NA,1.018315289,3.317111404
52,10184,732,KL_2009,KL,2009,control,-1.1,-1.5,1,1,1,3,5/21/09,141,nonmast,NA,420,NA,n,NA,NA,12.08333333,314,1,0,3,high predator,-1.5,5,1,0.75339618,0.735397158,0,0.509901951,9,4464,NA,1.018315289,3.317111404
53,10191,308,SU_2009,SU,2009,control,K6.,K.0,6.5,2,1,5,7/23/09,204,nonmast,58,58,64,y,NA,NA,3.058139535,314,23,0,4,high predator,11,7,6.5,0.565047135,-1.918804114,0.37669809,0,16,4549,NA,1.648010192,-2.487401242
54,10191,309,SU_2009,SU,2009,control,K6.,K.0,6.5,1,1,3,6/11/09,162,nonmast,NA,NA,NA,NA,NA,NA,3.058139535,314,23,0,4,high predator,11,6,6.5,0.37669809,NA,0.37669809,0,16,4548,NA,1.648010192,-2.487401242
55,10191,307,SU_2009,SU,2009,control,K6.,K.0,6.5,2,2,4,8/17/09,229,nonmast,122,122,821,y,NA,NA,3.058139535,314,23,0,4,high predator,11,8,6.5,1.506792361,-1.44955306,1.13009427,0,16,4549,NA,1.648010192,-2.487401242
60,10317,772,KL_2009,KL,2009,control,-310,-3,10,1,1,4,5/13/09,133,nonmast,NA,420,NA,n,NA,NA,12.08333333,314,0,0,3,high predator,-3,5,10,2.071839496,0.735397158,1.695141406,0,9,4468,0,2.961452853,-1.695069436
61,10317,771,KL_2009,KL,2009,control,-310,-3,10,1,2,4,6/11/09,162,nonmast,NA,420,NA,n,NA,NA,12.08333333,314,0,0,3,high predator,-3,6,10,0,0.735397158,0,0,9,4468,0,2.961452853,-1.695069436
62,10317,776,KL_2008,KL,2008,control,-49,-4,9,1,2,3,5/15/08,136,nonmast,30,30,100,y,NA,NA,38.53571429,329,0,0,2,high predator,-4,5,9,3.013584721,-2.12410145,2.260188541,1.58113883,4,4196,NA,2.961452853,-1.695069436
63,10317,777,KL_2008,KL,2008,control,-49,-4,9,1,1,3,4/20/08,111,nonmast,192,192,NA,y,NA,NA,38.53571429,329,0,0,2,high predator,-4,4,9,0.188349045,-0.93630972,0.188349045,1.58113883,4,4196,NA,2.961452853,-1.695069436
64,10318,123,KL_2008,KL,2008,control,F1,F.0,1,1,1,3,4/19/08,110,nonmast,175,175,305,y,rwt,NA,38.53571429,329,19,0,2,high predator,6,4,1,0.188349045,-1.060954532,0,1.029563014,4,4197,2.047826087,0.97136661,1.228918337
65,10318,121,KL_2009,KL,2009,control,F1,F.0,1,1,1,2,5/25/09,145,nonmast,60,60,65,y,NA,NA,12.08333333,314,19,1,3,high predator,6,5,1,1.695141406,-1.904140018,0.75339618,0.3,9,4469,2.133333333,0.97136661,1.228918337
66,10318,122,KL_2008,KL,2008,control,F1,F.0,1,1,2,3,5/12/08,133,nonmast,39,39,65,y,rwt,NA,38.53571429,329,19,0,2,high predator,6,5,1,1.695141406,-2.05811302,0.941745225,1.029563014,4,4197,2.047826087,0.97136661,1.228918337
67,10318,120,KL_2009,KL,2009,control,F1,F.0,1,1,2,2,6/9/09,160,nonmast,5,5,7,y,NA,NA,12.08333333,314,19,1,3,high predator,6,6,1,0.188349045,-2.307402643,0.188349045,0.3,9,4469,2.133333333,0.97136661,1.228918337
68,10342,364,KL_2008,KL,2008,control,G.1.,G.5,1.5,1,2,2,5/29/08,150,nonmast,111,111,320,y,rwt,NA,38.53571429,329,18,1,1,high predator,12.5,5,1.5,1.506792361,-1.530205585,0.75339618,5.2,1,4198,2.3625,-1.958587389,-1.189596699
69,10342,358,KL_2008,KL,2008,control,G.1.,G.5,1.5,1,1,2,5/13/08,134,nonmast,59,59,NA,y,rwt,NA,38.53571429,314,18,1,2,high predator,12.5,5,1.5,1.506792361,-1.911472066,0.75339618,5.2,4,4198,2.3625,-1.958587389,-1.189596699
70,10342,357,KL_2009,KL,2009,control,G.1.,G.5,1.5,1,2,4,7/11/09,192,nonmast,NA,420,NA,n,NA,NA,12.08333333,314,18,1,2,high predator,12.5,7,1.5,0.37669809,0.735397158,0.188349045,5.2,4,4470,NA,-1.958587389,-1.189596699
71,10342,363,KL_2009,KL,2009,control,G.1.,G.5,1.5,1,1,4,6/15/09,166,nonmast,NA,NA,NA,NA,NA,NA,12.08333333,329,18,1,1,high predator,12.5,6,1.5,0,NA,0,5.2,1,4470,NA,-1.958587389,-1.189596699
72,10362,233,SU_2009,SU,2009,control,I14.,I.0,14.5,1,1,3,5/30/09,150,nonmast,NA,420,NA,n,NA,NA,3.058139535,314,0,0,2,high predator,9,5,14.5,0.565047135,0.735397158,0.37669809,0,4,4551,NA,1.676276867,2.750779637
73,10374,340,KL_2009,KL,2009,control,L8,L.0,8,1,2,3,6/9/09,160,nonmast,398,398,406,y,NA,NA,12.08333333,314,9,1,2,high predator,12,6,8,0.188349045,0.574092108,0.188349045,1.13137085,4,4471,NA,-0.658798931,-2.212802031
74,10375,537,KL_2009,KL,2009,control,L.1,L.5,1,1,1,3,5/20/09,140,nonmast,NA,420,NA,n,NA,NA,12.08333333,329,11,0,1,high predator,17.5,5,1,0.565047135,0.735397158,0.188349045,5.0009999,1,4472,1.863636364,-1.679198618,-2.486039869
75,10375,535,KL_2009,KL,2009,control,L.1,L.5,1,1,2,3,6/11/09,162,nonmast,168,168,169,y,NA,NA,12.08333333,314,11,1,2,high predator,17.5,6,1,0,-1.112278866,0,5.0009999,4,4472,1.863636364,-1.679198618,-2.486039869
76,10375,536,KL_2008,KL,2008,control,L.1,L.5,1,1,2,2,5/22/08,143,nonmast,51,51,140,y,NA,NA,38.53571429,314,11,1,2,high predator,17.5,5,1,0.941745225,-1.970128448,0.565047135,5.930430001,4,4200,2.261538462,-1.679198618,-2.486039869
77,10375,538,KL_2008,KL,2008,control,L.1,L.5,1,1,1,3,4/26/08,117,nonmast,NA,420,NA,n,NA,NA,38.53571429,329,11,0,1,high predator,17.5,4,1,0,0.735397158,0,5.930430001,1,4200,2.261538462,-1.679198618,-2.486039869
78,10377,359,KL_2009,KL,2009,control,G.10.,G.5,10.5,1,2,3,6/25/09,176,nonmast,241,241,248,y,NA,NA,12.08333333,314,6,2,2,high predator,12.5,6,10.5,0.188349045,-0.577039383,0.188349045,7.610519036,4,4473,1.652173913,1.306894543,3.261199384
79,10377,360,KL_2009,KL,2009,control,G.10.,G.5,10.5,1,1,3,6/2/09,153,nonmast,407,407,433,y,NA,NA,12.08333333,314,6,2,2,high predator,12.5,6,10.5,0.188349045,0.640080538,0.188349045,7.610519036,4,4473,1.652173913,1.306894543,3.261199384
80,10391,797,KL_2009,KL,2009,control,-63,-6,3,1,1,4,6/7/09,158,nonmast,129,129,184,y,NA,NA,12.08333333,314,5,0,2,high predator,-6,6,3,0,-1.398228726,0,0,4,4474,NA,1.341105379,2.972471613
81,10391,789,KL_2008,KL,2008,control,-53,-5,3,1,1,3,5/5/08,126,nonmast,248,248,280,y,NA,NA,38.53571429,329,5,1,1,high predator,-5,5,3,0.941745225,-0.525715049,0.37669809,2.40208243,1,4202,NA,1.341105379,2.972471613
82,10391,788,KL_2008,KL,2008,control,-53,-5,3,1,2,3,5/29/08,150,nonmast,192,192,235,y,rwt,NA,38.53571429,329,5,1,1,high predator,-5,5,3,0.941745225,-0.93630972,0.37669809,2.40208243,1,4202,NA,1.341105379,2.972471613
83,10391,796,KL_2009,KL,2009,control,-63,-6,3,1,2,4,7/4/09,185,nonmast,205,205,223,y,NA,NA,12.08333333,314,5,0,2,high predator,-6,7,3,0.188349045,-0.8409931,0,0,4,4474,NA,1.341105379,2.972471613
84,10405,444,SU_2009,SU,2009,control,O11,O.0,11,1,1,2,6/13/09,164,nonmast,NA,420,NA,n,NA,NA,3.058139535,314,0,0,2,high predator,15,6,11,0.188349045,0.735397158,0.188349045,0,4,4552,NA,-0.505556425,-2.464217859
85,10405,443,SU_2009,SU,2009,control,O11,O.0,11,1,2,2,7/7/09,188,nonmast,NA,420,NA,n,NA,NA,3.058139535,314,0,0,2,high predator,15,7,11,0.188349045,0.735397158,0.188349045,0,4,4552,NA,-0.505556425,-2.464217859
86,10408,84,KL_2009,KL,2009,control,D3.,D.0,3.5,1,1,3,6/2/09,153,nonmast,NA,420,NA,n,NA,NA,12.08333333,314,3,0,2,high predator,4,6,3.5,0.188349045,0.735397158,0.188349045,0,4,4475,NA,1.5762687,0.307567576
87,10408,85,KL_2008,KL,2008,control,D3.,D.0,3.5,1,2,3,5/19/08,140,nonmast,135,135,165,y,NA,NA,38.53571429,329,3,1,1,high predator,4,5,3.5,2.825235676,-1.35423644,1.506792361,0,1,4203,1.534615385,1.5762687,0.307567576
88,10408,86,KL_2008,KL,2008,control,D3.,D.0,3.5,1,1,3,4/23/08,114,nonmast,NA,420,NA,n,NA,NA,38.53571429,329,3,1,1,high predator,4,4,3.5,0.188349045,0.735397158,0,0,1,4203,1.534615385,1.5762687,0.307567576
89,10461,775,KL_2009,KL,2009,control,-414,-4,14,1,1,3,6/23/09,174,nonmast,105,105,237,y,NA,NA,12.08333333,314,0,0,1,high predator,-4,6,14,0,-1.574197871,0,0.4,1,4476,NA,2.246743316,0.870053587
90,10517,605,KL_2009,KL,2009,control,n.2.,n.5,2.5,1,1,3,5/30/09,150,nonmast,135,135,220,y,NA,NA,12.08333333,314,3,1,2,high predator,19.5,5,2.5,0.37669809,-1.35423644,0.188349045,5.100980298,4,4478,1.52173913,2.591731438,3.225777641
